Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
3240,48,7,216,8,1613,223,225,138,1057,Commanche,C8772
2645,35,4,0,0,1082,219,231,148,6199,Rawah,C4744
2357,238,25,319,63,891,166,251,215,451,Cache,C2717
2952,72,26,85,7,1989,239,179,0,3272,Commanche,C7702
3226,313,20,108,28,2822,162,220,196,1266,Commanche,C7202
2317,238,6,0,0,598,209,245,173,518,Cache,C2704
2946,102,16,201,48,2293,245,217,95,1958,Commanche,C7700
3614,33,20,726,202,2820,212,193,110,1396,Rawah,C8776
2854,289,37,721,348,957,96,208,238,1850,Commanche,C7710
2978,218,11,433,69,5798,208,251,178,2892,Rawah,C7746
2927,158,24,1073,149,2556,237,236,114,1350,Commanche,C4758
2543,45,2,42,3,616,220,234,151,1041,Rawah,C4201
3212,156,19,95,10,1521,238,239,123,2505,Rawah,C7746
2542,324,6,212,18,2503,204,233,168,2489,Commanche,C4704
3050,170,7,170,10,418,225,243,152,1065,Commanche,C7202
2895,102,15,792,100,3027,243,220,102,1617,Commanche,C4703
3117,115,5,234,0,2402,229,235,140,2308,Commanche,C7756
3038,9,24,750,169,2533,187,186,129,2162,Commanche,C7700
2840,74,11,443,55,3278,233,219,116,6419,Rawah,C7746
3203,14,16,566,127,480,203,206,137,1852,Commanche,C7757
2896,214,14,234,33,2400,205,253,181,2271,Commanche,C7702
2980,231,3,390,4,5213,215,242,165,1513,Rawah,C7202
3032,27,9,402,6,467,217,221,140,576,Commanche,C7755
3381,266,11,170,17,4963,192,245,192,3816,Commanche,C8771
2785,36,8,0,0,1006,220,222,138,2143,Commanche,C6102
2776,177,21,42,11,2704,225,246,143,2324,Rawah,C7746
2888,191,23,558,56,765,212,251,161,1674,Commanche,C2705
2703,357,18,67,15,2247,189,205,151,5176,Rawah,C4744
3243,151,11,361,71,1825,234,240,136,1374,Neota,C7757
2945,66,8,216,3,4030,229,224,128,4837,Rawah,C7745
3176,235,21,323,46,976,180,253,205,600,Commanche,C7756
3074,48,18,1063,205,2670,224,199,103,1362,Commanche,C7700
2871,169,22,90,15,1082,230,243,132,2124,Commanche,C7757
3270,309,13,488,105,4170,183,231,188,2337,Commanche,C8771
3099,60,10,90,13,4861,228,218,122,2475,Rawah,C7745
3121,98,18,330,46,4302,246,212,88,3332,Rawah,C7745
3057,358,16,424,43,1691,192,208,151,1019,Commanche,C7756
3152,333,13,150,49,2160,191,223,172,616,Commanche,C7202
2907,194,19,175,-3,1620,214,252,165,1348,Commanche,C7755
2948,83,31,0,0,1082,245,170,30,1575,Commanche,C7757
2543,75,7,335,-30,408,228,228,133,1181,Rawah,C7102
2726,2,23,108,15,2445,181,188,139,2051,Commanche,C7700
2818,154,12,60,4,2024,234,241,136,2347,Commanche,C7702
2641,253,8,60,-5,691,202,246,182,1624,Rawah,C7202
3186,67,14,404,43,4647,233,211,106,2605,Rawah,C7745
3120,57,8,124,14,5276,226,223,131,3283,Rawah,C7201
2945,45,14,201,41,4589,223,208,116,3781,Rawah,C7745
3020,104,25,150,36,1529,252,200,61,1377,Commanche,C7757
3103,287,8,242,-23,2479,198,240,181,1839,Commanche,C7202
2593,47,9,0,0,1047,224,220,130,571,Rawah,C7201
2807,63,11,30,8,1113,230,218,121,2148,Commanche,C6102
3378,108,3,180,29,2623,225,236,146,2421,Rawah,C8772
2928,315,21,270,157,2315,161,218,196,1343,Commanche,C4758
3104,335,20,210,67,2376,172,210,175,895,Commanche,C7757
2971,135,1,30,0,2435,221,238,153,1742,Rawah,C7745
2512,76,7,0,0,150,229,227,131,700,Cache,C4703
3019,27,10,319,14,1087,216,219,138,1725,Commanche,C7756
2879,84,7,400,8,1024,231,227,129,2619,Commanche,C7756
2939,139,13,277,7,4412,240,235,123,5741,Rawah,C7745
3168,76,16,150,46,5380,238,209,97,2516,Rawah,C7201
3325,153,12,551,105,1302,234,240,135,2165,Commanche,C7756
3348,216,13,825,146,2860,207,252,179,1254,Commanche,C7757
3308,98,16,85,15,2313,244,216,96,2738,Rawah,C8772
3243,180,15,180,25,2936,224,248,152,2372,Rawah,C7745
3184,158,13,309,33,1931,233,242,137,1961,Commanche,C7757
2985,74,14,457,66,5088,236,213,106,5568,Rawah,C4744
3061,132,13,285,-46,658,240,233,121,1605,Rawah,C7202
3173,151,16,60,0,4228,238,238,125,3207,Commanche,C7201
3008,32,9,390,4,5073,218,220,137,4430,Rawah,C7745
3386,79,4,924,205,1142,224,233,144,703,Neota,C7755
3271,257,9,268,65,4924,200,246,185,1072,Rawah,C7745
2998,37,10,108,-3,926,220,218,132,940,Rawah,C7745
2569,6,17,384,126,1050,197,205,142,1087,Commanche,C4703
3160,263,23,283,63,216,157,244,222,2353,Neota,C8776
2984,106,12,297,73,2409,241,225,111,1836,Commanche,C7700
3155,173,11,283,22,437,227,246,149,2704,Neota,C7202
2892,285,31,30,25,424,119,221,234,1818,Commanche,C7700
3232,338,13,0,0,2989,191,221,169,2670,Commanche,C7202
3155,47,24,624,237,2190,221,182,83,2310,Commanche,C7757
3245,55,4,190,-9,722,222,231,145,1889,Rawah,C7202
2316,42,15,42,2,175,221,207,117,660,Commanche,C4703
3275,261,6,90,16,3490,205,243,177,1682,Commanche,C7756
2926,241,6,295,26,5365,209,245,174,4470,Rawah,C7202
3008,294,11,285,41,1862,188,237,189,782,Commanche,C7755
2978,214,10,607,2,5312,211,250,174,1748,Rawah,C7745
2865,138,18,671,86,2219,244,231,108,1723,Commanche,C4758
2874,18,19,272,92,1657,201,197,127,1813,Commanche,C7700
3039,340,20,474,74,3407,175,207,169,1879,Commanche,C8772
2888,85,16,242,75,3152,241,211,96,2240,Commanche,C7757
2952,17,12,384,36,3882,210,214,140,5892,Rawah,C7745
3035,54,7,192,7,1376,224,225,136,2630,Rawah,C7745
2898,340,12,85,8,1892,195,223,166,937,Commanche,C7756
3277,112,26,30,17,6000,253,203,60,607,Rawah,C8771
2997,152,18,382,92,690,239,238,121,1839,Commanche,C7757
3221,315,12,511,30,3242,187,230,183,3401,Rawah,C7746
3627,29,27,973,215,2648,199,171,94,1332,Rawah,C8776
2489,129,22,30,0,1292,250,221,87,513,Commanche,C2705
2836,91,22,300,139,914,247,200,72,1087,Commanche,C4758
3243,60,9,0,0,1809,227,221,127,1758,Neota,C7757
2793,67,16,335,63,2630,235,206,98,2007,Commanche,C7756
2675,353,17,90,15,2054,190,209,156,5035,Rawah,C4744
3166,116,18,210,77,1110,248,220,94,1172,Rawah,C7745
3047,270,4,912,141,5929,208,241,171,3607,Rawah,C7745
3165,134,26,212,63,3918,250,218,78,2958,Commanche,C7201
3179,316,20,216,63,1259,164,219,194,2190,Rawah,C7745
2344,272,23,60,32,1209,152,240,223,916,Cache,C4703
3281,265,19,42,11,6051,170,245,213,376,Rawah,C7201
2823,65,16,0,0,830,234,206,99,201,Rawah,C7745
2491,191,10,0,0,1209,220,248,161,1282,Commanche,C6102
2833,80,5,0,0,5068,227,230,137,295,Rawah,C7202
3295,203,13,301,3,3247,213,251,171,957,Commanche,C7756
3090,289,10,95,-8,966,192,239,187,1831,Neota,C7700
2983,121,4,30,0,2030,227,236,144,3966,Rawah,C7202
3188,76,13,395,46,2913,236,216,109,4628,Rawah,C8772
2909,104,8,532,35,3050,234,230,129,2024,Rawah,C7745
2908,40,8,272,53,3310,221,222,136,2240,Rawah,C7745
2852,58,12,365,60,2081,228,215,117,2806,Rawah,C7745
3226,339,6,674,66,1318,207,232,163,2571,Neota,C7202
3345,226,23,134,7,1931,182,254,201,3756,Neota,C7757
3063,353,19,361,204,767,183,202,154,3104,Commanche,C7700
3188,37,7,382,16,4729,220,224,139,1579,Rawah,C7745
2780,0,1,242,36,2112,217,236,156,2526,Rawah,C4744
2909,288,9,234,67,3274,195,239,184,2431,Rawah,C7745
3073,93,14,0,0,2197,241,218,104,3434,Commanche,C7700
2767,349,6,467,121,1994,209,230,159,2108,Commanche,C4703
2689,276,41,503,212,872,83,211,249,1770,Commanche,C7710
2875,226,26,201,98,3139,175,253,205,1458,Commanche,C2705
3189,81,3,30,-1,5088,223,234,146,1871,Rawah,C7202
2886,204,10,242,51,1095,214,250,169,1802,Commanche,C4758
3041,107,23,175,26,816,252,207,71,1296,Commanche,C7757
2948,338,10,30,6,1530,198,226,167,2160,Commanche,C7757
3287,63,23,300,1,1734,233,185,71,2642,Rawah,C8772
3016,259,21,30,8,2375,164,246,218,1655,Commanche,C7202
3196,199,9,268,38,926,217,248,165,277,Commanche,C7202
2965,103,24,180,6,400,252,200,62,1556,Rawah,C7745
2438,132,12,162,-1,1905,240,233,121,42,Commanche,C2703
3198,36,20,514,15,2017,215,193,106,1862,Commanche,C7757
3242,315,17,335,103,2493,173,224,190,210,Commanche,C7757
2892,71,16,335,-35,541,236,208,99,1879,Rawah,C7745
2933,121,8,277,65,1689,235,233,130,2818,Commanche,C7756
3373,209,6,371,81,2930,216,246,166,1201,Commanche,C7756
2849,253,18,30,5,1992,178,249,208,1276,Commanche,C7202
3096,51,12,335,46,3822,226,213,119,4256,Rawah,C7745
2938,242,21,42,7,2524,174,252,211,1451,Commanche,C4758
2787,294,11,242,55,234,188,237,189,2105,Commanche,C4703
3105,208,7,0,0,2060,215,247,167,630,Commanche,C7202
3244,222,13,180,27,1201,203,252,184,664,Commanche,C7756
3230,247,15,785,121,569,187,250,200,2889,Commanche,C7756
2715,23,12,30,1,759,213,214,136,2073,Commanche,C6102
3299,151,22,162,-11,2454,242,233,109,3611,Neota,C7757
2930,55,8,124,17,3606,225,223,132,4293,Rawah,C4744
3305,216,14,272,37,3192,205,253,181,592,Commanche,C7757
2612,198,27,309,173,295,200,251,170,824,Commanche,C2704
2709,91,10,85,11,2040,235,225,120,1300,Rawah,C4744
3091,12,19,997,222,2684,198,199,134,1630,Commanche,C7700
3306,57,7,360,-28,1621,225,226,136,1982,Rawah,C8703
2937,323,12,319,56,865,188,227,178,1951,Commanche,C7755
3345,261,20,175,56,3511,168,246,214,1598,Commanche,C7756
3240,225,6,497,6,503,211,246,172,579,Commanche,C7756
2940,111,18,85,15,1487,248,218,92,2550,Commanche,C7757
2332,298,14,212,62,924,181,235,193,277,Cache,C2717
2838,177,19,636,72,4171,226,247,145,1611,Commanche,C4758
2857,0,8,0,0,4893,209,226,155,4523,Rawah,C6101
2680,121,15,90,19,2039,245,226,106,1652,Rawah,C7746
3133,107,6,342,15,5511,230,233,137,731,Rawah,C7745
3031,318,13,319,61,551,187,228,182,488,Neota,C7201
3329,3,10,541,95,743,206,220,152,1648,Commanche,C7755
3354,306,23,807,181,924,150,219,207,514,Neota,C7757
3703,306,6,1146,257,5356,203,237,173,3649,Commanche,C8776
3244,212,6,485,10,495,215,246,167,591,Commanche,C7202
2655,70,6,408,55,892,227,228,135,2535,Rawah,C4744
2860,84,25,408,64,990,246,190,59,499,Rawah,C7746
2846,111,31,180,23,711,254,190,38,1302,Commanche,C4758
2123,308,17,390,115,497,171,227,195,268,Cache,C2706
3031,305,9,124,25,2358,195,235,181,1687,Commanche,C7756
2703,56,14,0,0,1549,228,210,112,918,Rawah,C7102
2558,239,30,182,104,1419,150,248,223,1276,Commanche,C2704
2941,99,16,182,32,1860,244,217,98,1958,Commanche,C7755
3059,352,9,108,4,1974,205,225,158,1383,Commanche,C7201
3265,37,21,242,86,1641,214,189,101,2630,Commanche,C7757
2722,90,11,210,-5,1471,237,222,114,3973,Rawah,C4744
2890,324,15,408,134,2582,182,223,181,1071,Commanche,C7700
2762,135,6,30,5,1992,230,237,140,2885,Rawah,C7102
2921,225,20,420,35,1549,188,254,197,1610,Commanche,C7757
2982,357,10,551,-2,4402,205,222,155,3275,Rawah,C7745
3009,65,7,85,2,3001,227,226,134,1639,Rawah,C7745
2723,351,21,162,76,1360,178,199,156,2685,Rawah,C7745
3247,311,10,67,13,4736,194,233,179,2738,Commanche,C7756
2809,304,24,256,83,2605,148,220,209,180,Commanche,C7757
2615,77,12,268,52,300,235,218,113,1165,Rawah,C4744
3075,66,5,300,40,4857,225,230,141,1053,Rawah,C7745
3131,180,20,467,120,1932,223,248,148,2058,Commanche,C7757
2844,76,19,60,24,890,240,202,85,384,Commanche,C7756
3427,274,14,582,135,2690,182,243,200,1381,Commanche,C7756
2531,316,15,228,71,785,179,226,187,722,Cache,C4703
2425,57,21,365,237,892,229,191,86,1100,Cache,C2717
3252,103,13,467,93,641,241,224,110,964,Commanche,C8772
3008,79,18,85,26,2724,241,204,87,306,Rawah,C7745
2674,205,27,379,76,2197,194,252,179,1770,Commanche,C4703
3219,144,13,150,29,1749,238,237,126,1465,Neota,C7202
3192,66,10,361,-14,1931,230,219,121,2900,Rawah,C7745
2880,61,19,674,192,685,232,197,90,2408,Rawah,C7700
3418,195,17,514,83,2828,215,252,166,1515,Commanche,C7756
3028,349,10,210,16,2415,202,224,160,1082,Commanche,C7202
2971,285,16,90,17,391,173,238,205,745,Neota,C7201
3089,100,9,212,18,2630,236,227,122,2964,Commanche,C7756
2575,114,20,30,8,912,250,216,85,3289,Rawah,C7745
2607,343,11,272,55,1215,199,224,164,1318,Commanche,C4704
2816,149,31,180,88,1410,242,222,84,1760,Commanche,C4758
2827,11,7,124,16,2574,213,225,150,2550,Rawah,C4744
2834,221,26,108,41,3237,180,254,200,1556,Commanche,C2705
3006,101,15,42,8,4309,243,219,101,484,Rawah,C7202
3137,222,27,150,46,3296,176,253,201,742,Commanche,C7790
2811,11,20,212,63,2551,194,195,132,693,Commanche,C7700
3103,185,9,85,13,3205,222,246,158,5484,Rawah,C7746
2679,86,12,313,62,900,238,219,110,732,Rawah,C7745
3083,186,15,495,-87,1770,221,250,158,3700,Rawah,C7745
3158,70,8,60,-7,4925,229,225,129,2236,Rawah,C7201
2351,336,15,30,6,1343,186,219,171,524,Cache,C6101
3369,243,10,350,47,3800,201,248,184,2113,Commanche,C8771
2903,149,8,443,67,3000,231,240,140,2094,Rawah,C4744
3150,213,13,268,51,2070,207,252,178,711,Rawah,C7201
3260,94,3,30,-1,3684,224,234,145,3770,Rawah,C8771
3172,45,8,524,40,3309,223,223,135,3450,Rawah,C7745
2235,140,30,85,52,1230,248,215,72,1062,Cache,C2704
2885,106,18,361,89,930,248,215,89,698,Rawah,C7746
2967,302,31,175,73,732,121,209,221,2613,Rawah,C7745
2832,100,13,30,3,1618,241,222,109,1879,Commanche,C2705
3211,315,5,153,0,5179,206,236,168,874,Rawah,C7201
2978,275,14,552,78,6027,181,243,201,6209,Rawah,C7745
3026,356,8,451,42,4235,208,226,156,1503,Rawah,C7202
2852,232,23,150,45,1712,176,253,207,997,Commanche,C4758
2686,336,17,95,29,2026,179,214,173,4995,Rawah,C4744
3258,71,17,799,177,1485,236,205,95,3223,Commanche,C7757
3047,195,31,474,110,3684,197,247,163,1188,Commanche,C4758
2844,153,10,395,26,3625,232,241,140,6163,Rawah,C7746
3288,203,30,234,63,949,191,250,176,993,Rawah,C7201
3212,96,14,324,76,741,241,219,105,811,Commanche,C7755
2871,45,17,420,52,1524,222,201,108,2835,Commanche,C7757
2404,262,16,180,66,1299,178,246,206,805,Cache,C2717
2515,263,17,30,-2,2296,174,246,209,2234,Commanche,C6102
2774,105,13,127,15,2770,242,223,108,285,Commanche,C4703
2541,330,13,371,72,95,189,224,174,685,Cache,C4703
3088,255,27,95,29,674,147,245,228,1558,Commanche,C7756
2901,231,23,524,188,510,179,254,205,1804,Commanche,C2705
2815,43,11,376,-9,1033,222,216,127,2480,Rawah,C7745
2130,45,5,0,0,1209,221,229,143,1406,Cache,C6102
2872,7,6,361,54,2359,213,228,153,2058,Rawah,C4744
2844,111,10,60,7,1323,237,229,122,1443,Commanche,C7202
2660,81,21,60,18,1698,243,197,73,1209,Commanche,C7757
3165,0,1,216,23,3187,217,236,156,4471,Rawah,C7745
3009,40,16,134,17,573,220,203,113,1814,Rawah,C7745
3096,102,15,95,19,3824,244,219,99,2230,Rawah,C7745
2807,263,42,270,173,1337,87,220,250,1454,Commanche,C4758
2988,63,12,60,5,2010,230,216,117,2821,Commanche,C7202
2858,51,17,30,13,780,226,202,104,323,Commanche,C7755
3249,74,7,537,140,4867,229,227,132,2932,Rawah,C7745
3287,222,27,162,46,2336,177,253,201,2888,Rawah,C8776
2532,203,15,192,71,2195,211,252,172,391,Commanche,C2705
2988,43,12,85,-1,1584,222,213,124,1931,Rawah,C7202
3130,75,7,309,23,5600,228,228,133,811,Rawah,C7745
3169,90,10,67,8,891,236,224,118,2236,Neota,C7202
3383,40,12,153,35,3845,221,214,126,2885,Commanche,C8772
3166,183,9,108,11,2577,223,246,157,1040,Commanche,C7756
3321,173,8,510,95,981,225,244,152,1057,Commanche,C7756
2127,3,9,351,82,384,208,223,152,830,Cache,C4703
3379,2,16,85,12,5163,196,208,147,3630,Commanche,C8771
3253,22,9,671,89,2754,214,220,141,3398,Commanche,C7755
3299,218,11,540,72,4142,208,250,177,2114,Rawah,C7202
3206,81,6,641,54,1134,229,229,134,2676,Neota,C7202
2918,297,30,242,81,1507,123,214,224,1129,Commanche,C7757
2232,335,23,67,35,1348,162,202,176,636,Cache,C4703
3159,38,14,67,12,390,219,208,120,1620,Rawah,C7201
2725,30,8,67,2,1234,218,223,140,1857,Rawah,C4744
3193,18,30,30,15,1266,182,163,103,2647,Rawah,C7746
2784,12,11,90,2,2325,209,217,145,1374,Rawah,C7202
2906,123,18,90,17,3780,247,224,98,2664,Rawah,C7745
3200,0,12,361,49,2996,202,217,152,760,Commanche,C7700
2332,328,17,180,84,1061,177,218,179,1006,Cache,C4704
3149,175,6,42,4,4599,223,243,154,1113,Rawah,C7202
3511,43,16,547,99,2784,221,202,111,1784,Rawah,C8776
2880,256,22,150,34,5178,164,247,218,543,Rawah,C7745
2919,293,4,0,0,5707,209,239,168,1284,Rawah,C7202
3008,26,13,541,89,5134,213,211,132,5801,Rawah,C4744
2714,356,4,513,83,1332,214,233,157,1648,Rawah,C4744
2612,95,14,335,72,1129,241,219,104,624,Rawah,C7746
2955,205,13,67,0,5474,212,251,172,2420,Rawah,C7202
2827,79,15,60,13,3673,239,211,99,6185,Rawah,C7745
2955,135,7,272,36,4883,231,237,138,5636,Rawah,C4744
3155,156,20,495,63,190,238,238,122,2844,Commanche,C7202
2796,337,9,242,11,2095,200,228,166,2359,Rawah,C4744
3282,322,20,886,211,3479,166,216,188,2154,Commanche,C7755
2945,251,10,268,29,5313,198,247,187,3834,Rawah,C7745
2371,115,27,90,34,309,254,201,56,765,Commanche,C2705
2960,270,2,430,122,1359,213,240,165,2553,Commanche,C7756
3196,99,14,277,75,1682,242,220,104,1579,Rawah,C7745
3001,167,6,564,82,5681,225,242,151,3426,Rawah,C7745
2804,105,11,607,78,3160,238,227,118,6407,Rawah,C4744
3096,26,16,323,79,1466,211,203,124,2885,Commanche,C7755
3132,329,18,446,-6,2156,175,216,180,466,Commanche,C7757
3547,51,19,937,332,2465,225,195,96,1490,Rawah,C8776
2556,54,23,108,49,1304,227,184,78,1624,Commanche,C4703
2512,36,9,85,5,1261,220,221,136,4380,Rawah,C6731
3270,15,7,765,79,5977,214,226,149,2706,Rawah,C7745
2874,14,10,376,42,720,211,220,145,1397,Commanche,C4704
3067,27,7,108,-1,2184,218,225,144,2089,Commanche,C7756
3116,305,32,124,31,2979,115,203,219,2493,Rawah,C7700
2965,73,18,604,-69,789,238,203,91,1471,Rawah,C7745
3015,112,5,216,35,2493,229,234,139,532,Rawah,C7745
3096,188,21,30,0,2858,216,250,158,1294,Commanche,C7202
3223,206,28,541,2,1702,191,252,180,3550,Rawah,C7745
3266,353,11,552,38,1875,201,221,158,722,Commanche,C7755
2207,307,31,212,119,828,123,205,215,942,Cache,C4703
2680,328,17,60,15,2490,177,218,179,778,Commanche,C7757
2318,190,13,212,61,937,220,249,161,767,Cache,C2717
3466,345,34,258,73,2753,135,166,156,2353,Rawah,C8776
3237,107,21,390,47,1320,250,210,77,1371,Rawah,C7745
3347,248,17,108,25,1995,182,250,204,2039,Commanche,C7756
2772,39,13,309,38,42,220,210,122,693,Commanche,C4704
3208,330,14,277,60,755,187,222,175,1900,Rawah,C7745
3251,183,15,210,33,2902,223,249,155,2403,Rawah,C7745
2929,95,17,624,233,633,245,212,89,1745,Rawah,C7745
3390,295,9,361,122,5172,195,238,182,757,Rawah,C8772
2281,351,10,67,16,660,202,223,159,607,Cache,C2703
3047,135,6,240,13,6647,230,237,140,3391,Rawah,C7745
2977,314,26,335,152,2722,141,209,203,658,Commanche,C7757
3163,308,18,591,96,150,169,226,197,2047,Commanche,C7757
2941,276,2,30,1,1772,213,239,164,283,Commanche,C7756
3208,180,13,256,29,2893,224,248,153,1024,Commanche,C7756
3109,29,7,0,0,3866,218,224,142,1638,Rawah,C7202
3126,285,12,255,29,1384,187,240,193,2002,Commanche,C7756
2296,273,23,424,100,658,152,239,222,532,Cache,C2717
2046,141,36,60,27,488,245,204,54,391,Cache,C2702
2945,277,14,212,63,2903,180,242,201,2330,Rawah,C7745
3202,139,16,30,4,1657,242,233,116,1557,Rawah,C7745
2943,116,31,124,49,990,254,195,44,1376,Commanche,C7757
2915,161,15,285,66,3097,234,242,135,3313,Rawah,C7746
2820,74,26,268,132,1463,240,182,58,1104,Commanche,C4758
2966,319,29,351,128,2728,135,200,199,553,Commanche,C7757
2857,161,9,170,20,2888,230,242,144,2301,Rawah,C4744
3186,108,18,560,259,1734,248,216,90,2905,Commanche,C7757
2790,6,15,42,6,2363,200,209,144,1477,Rawah,C7202
2955,290,6,201,57,3474,204,239,174,1593,Rawah,C7745
2959,66,16,481,149,481,234,207,101,743,Rawah,C7745
2908,257,5,319,29,4031,208,243,173,3615,Rawah,C4744
3257,105,17,319,88,1434,246,217,93,1415,Rawah,C7746
3269,319,10,659,41,1953,193,231,177,700,Commanche,C7755
2877,56,9,228,8,3566,226,222,130,3331,Rawah,C4744
2327,308,14,180,65,1075,182,231,189,553,Cache,C2706
2850,319,9,849,118,67,198,232,174,1477,Commanche,C4703
2901,90,8,277,-12,626,232,228,129,1924,Rawah,C7201
2891,115,15,201,-13,1291,245,224,103,1956,Rawah,C7745
3136,144,6,210,7,6511,229,239,143,2359,Rawah,C7745
2608,110,10,190,27,446,238,229,120,1411,Rawah,C4744
2858,74,14,90,44,939,236,213,106,390,Commanche,C7756
3278,31,13,677,130,853,216,212,129,2093,Rawah,C7202
3266,117,4,67,2,6192,227,236,143,124,Rawah,C7201
3285,83,30,297,107,3822,245,172,34,2580,Rawah,C8772
3141,198,5,150,9,2402,218,244,162,882,Commanche,C7756
3208,54,13,190,25,3247,227,212,116,3037,Commanche,C7700
2610,121,17,175,48,1350,246,225,102,684,Rawah,C7746
2670,9,18,360,1,1249,196,200,137,2768,Commanche,C4703
2522,325,17,306,52,967,176,219,182,908,Commanche,C4703
2442,353,13,192,90,543,196,216,157,649,Commanche,C4704
3545,55,19,837,133,2628,228,195,92,1611,Rawah,C8776
3397,175,11,339,95,2100,226,246,151,638,Commanche,C8771
3115,16,14,300,23,1621,208,211,138,2856,Commanche,C7755
2703,73,19,180,63,1159,239,199,83,942,Commanche,C4758
2909,316,14,30,14,2701,182,227,185,560,Commanche,C7103
3205,185,18,301,114,3650,221,249,155,469,Commanche,C7757
2422,147,16,180,79,591,240,236,121,551,Cache,C2704
2857,227,18,124,-28,1871,191,254,195,1434,Commanche,C7202
2945,346,24,90,35,1756,166,194,161,2748,Commanche,C7757
3004,7,11,234,9,4535,207,218,148,2789,Rawah,C7745
2934,225,5,579,21,3450,213,245,169,3843,Rawah,C4744
3138,7,36,390,142,480,153,145,108,2017,Rawah,C7746
2932,25,15,408,70,541,211,205,127,680,Commanche,C7755
2013,343,36,360,162,331,126,162,160,924,Cache,C2706
3156,177,17,1044,102,3132,226,247,148,2561,Commanche,C7757
2601,339,19,60,8,1329,174,208,171,1848,Commanche,C4703
3259,41,10,190,39,6000,221,219,132,488,Rawah,C7201
3037,58,14,127,-6,4318,230,209,109,2560,Rawah,C7745
2652,59,12,644,31,782,229,215,117,1170,Commanche,C4704
3042,42,21,255,20,5049,218,188,96,2609,Rawah,C7745
3129,27,20,481,88,2226,207,191,113,1989,Commanche,C7757
3268,145,17,446,130,874,241,235,118,2313,Rawah,C7201
3158,117,1,457,51,5484,220,237,153,495,Rawah,C7102
2644,136,26,127,55,1868,250,218,79,2773,Commanche,C2705
2913,163,16,819,135,2402,233,243,135,1549,Commanche,C4758
3259,282,7,85,11,4866,201,241,179,2863,Commanche,C7756
3205,130,12,417,33,4581,240,233,122,1677,Rawah,C7745
3255,117,4,430,11,4266,227,236,143,2396,Rawah,C7201
2766,88,30,210,118,212,248,175,34,2460,Rawah,C7746
2974,356,9,192,43,3786,205,224,156,1388,Rawah,C7745
3236,55,13,60,-3,1797,228,211,113,2647,Rawah,C7201
3302,6,12,957,186,1800,205,216,148,2658,Commanche,C7755
2982,195,14,134,22,1611,216,251,166,2408,Commanche,C7757
3309,186,9,450,89,1073,222,247,159,1142,Commanche,C7756
3198,192,6,400,25,1622,220,244,160,162,Commanche,C7202
2425,189,23,212,55,1170,214,250,158,1645,Commanche,C2705
2975,144,12,108,26,4256,237,237,128,5284,Rawah,C7745
2993,339,7,247,68,2280,204,230,164,2407,Commanche,C7756
3034,191,16,601,148,5975,218,251,162,5280,Rawah,C7745
3347,76,30,342,140,1979,241,171,40,2324,Commanche,C7757
2094,31,40,85,45,1040,177,124,52,390,Cache,C4703
3268,252,8,785,133,811,204,245,180,2555,Commanche,C7756
3264,263,19,443,93,4204,168,245,214,2336,Commanche,C8771
2397,52,18,309,67,532,226,197,98,1302,Cache,C4703
3073,53,21,510,48,2148,226,191,88,1914,Commanche,C7757
2857,135,4,0,0,3104,226,238,147,4123,Rawah,C7202
2731,105,23,216,12,2900,251,205,69,1283,Commanche,C4703
2948,26,7,459,141,1271,217,225,144,2613,Commanche,C7756
2924,13,13,510,-7,1959,207,214,142,2986,Commanche,C7202
2921,14,6,351,93,914,215,228,150,2040,Rawah,C4744
2594,107,15,150,-34,1012,244,221,103,997,Rawah,C7746
2881,59,15,573,126,1507,230,208,107,824,Commanche,C7710
2915,118,13,150,42,1590,242,228,114,2084,Commanche,C7755
3146,40,15,190,28,2663,220,207,118,1159,Commanche,C7201
2997,47,17,446,100,2936,224,201,107,752,Commanche,C7756
2493,8,17,42,8,1091,198,204,141,808,Cache,C2717
3274,135,12,360,0,926,239,235,124,3310,Neota,C7756
3238,113,18,95,19,2470,248,218,91,2773,Rawah,C8771
3065,302,8,60,10,4759,199,237,177,899,Rawah,C7745
2474,31,15,30,7,1142,215,205,123,819,Cache,C4703
2530,25,26,120,55,2131,196,174,102,726,Commanche,C4703
3239,189,6,525,5,514,221,245,159,560,Commanche,C7756
3055,99,6,655,-127,1530,231,231,134,1140,Rawah,C7202
2348,4,17,0,0,1123,196,206,145,832,Cache,C4703
3365,323,22,228,14,3664,160,212,189,1323,Rawah,C8772
2741,86,21,210,94,212,245,200,74,1802,Rawah,C7746
3143,62,17,847,287,859,232,203,98,1579,Rawah,C7745
3205,289,16,376,80,3811,172,236,204,1505,Commanche,C8772
2632,22,28,272,105,726,190,168,100,722,Commanche,C7757
3018,259,7,774,109,5856,203,244,180,3396,Rawah,C7102
3228,75,14,60,8,2493,236,213,104,424,Commanche,C8772
2478,326,10,60,19,658,195,229,173,1262,Cache,C4703
3078,346,9,384,61,1626,203,226,161,1015,Commanche,C7756
3030,77,13,360,85,2922,236,215,107,1410,Commanche,C7756
2917,84,7,242,4,3482,231,227,129,4090,Rawah,C4744
2851,51,13,371,51,1572,226,211,116,2765,Commanche,C7757
